# Классификация персональных данных
# Формат: TYPE | FORMAT_DESCRIPTION | EXAMPLES | FAKE_VALUE | COMMENT_KEYWORDS

fio            | Фамилия Имя Отчество | Иванов Иван Иванович, Петрова Мария Сергеевна, Сидоров Алексей Николаевич | Иванов Иван Иванович | фио, полное имя
fio_short      | Фамилия И.О. | Иванов И.И., Петрова М.С., Сидоров А.Н. | Иванов И.И. | сокращённое имя
surname        | Фамилия | Иванов, Петрова, Сидоров, Козлова, Смирнов | Иванов | фамилия
firstname      | Имя | Иван, Мария, Алексей, Елена, Дмитрий | Иван | имя
patronymic     | Отчество | Иванович, Сергеевна, Николаевич, Петровна, Александрович | Иванович | отчество
phone          | +7XXXXXXXXXX / 8(XXX)XXX-XX-XX / 8XXXXXXXXXX | +79161234567, 8(495)123-45-67, 89161234567, +7 (903) 555-12-34 | +79991234567 | телефон, номер
email          | user@domain.com | ivanov@mail.ru, petrova@gmail.com, info@company.ru, admin@yandex.ru | test@example.com | электронная почта, email
inn_org        | 10 цифр (юрлицо), проверка контрольной суммы | 7707083893, 5024002119, 7710140679 | 7707083893 | инн
inn_person     | 12 цифр (физлицо), проверка контрольной суммы | 500100732259, 772001457612 | 770708389312 | инн
ogrn           | 13 цифр, проверка контрольной суммы | 1027700132195, 1037739169335 | 1027700132195 | огрн
snils          | XXX-XXX-XXX XX | 112-233-445 95, 123-456-789 64, 152-874-564 70 | 123-456-789 00 | снилс, пенсионный
kpp            | 9 цифр | 770801001, 773301001, 502401001 | 770801001 | кпп
passport       | XXXX XXXXXX (серия+номер) | 4510 123456, 4515 654321, 9700 112233 | 4510 123456 | паспорт, документ
pasp_series    | 4 цифры | 4510, 4515, 9700, 4600 | 4510 | серия паспорта
pasp_number    | 6 цифр | 123456, 654321, 112233, 987654 | 123456 | номер паспорта
company        | Наименование организации | ООО «Ромашка», АО «Газпром», ПАО «Сбербанк», ИП Иванов И.И. | ООО «Компания» | компания, организация
mixed          | Смешанные данные (ФИО, телефоны, описания в одном поле) | Иванов И.И. +79161234567 переведён, Назначен Петров П.П. |  | смешанные, mixed
